week_end,pruid,prename,prfname,product_name,numtotal_totaldoses_admin,numtotal_dose1_admin,numtotal_dose2_admin,numtotal_dose3_admin,numtotal_dose4_admin,numtotal_dose5+_admin,numtotal_dosenotreported_admin,numdelta_dose1,numdelta_dose2,numdelta_dose3,numdelta_dose4,numdelta_dose5+,numdelta_notreported,num2weekdelta_dose1,num2weekdelta_dose2,num2weekdelta_dose3,num2weekdelta_dose4,num2weekdelta_dose5+,num2weekdelta_notreported,num4weekdelta_dose1,num4weekdelta_dose2,num4weekdelta_dose3,num4weekdelta_dose4,num4weekdelta_dose5+,num4weekdelta_notreported
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pfizer-BioNTech Comirnaty (ages 12 years and older),1785,1785,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Total,1785,1785,0,,,,0,813,0,,,,0,,,,,,,,,,,,
2020-12-26,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,Pfizer-BioNTech Comirnaty (ages 12 years and older),1146,1146,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,Total,1146,1146,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,11,Prince Edward Island,Île-du-Prince-Édouard,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,Pfizer-BioNTech Comirnaty (ages 12 years and older),2218,2218,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,Total,2218,2218,0,,,,0,1126,0,,,,0,,,,,,,,,,,,
2020-12-26,12,Nova Scotia,Nouvelle-Écosse,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,Pfizer-BioNTech Comirnaty (ages 12 years and older),2606,2606,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,Total,2606,2606,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,13,New Brunswick,Nouveau-Brunswick,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,24,Quebec,Québec,Not reported,0,,,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,24,Quebec,Québec,Pfizer-BioNTech Comirnaty (ages 12 years and older),17216,,,,,,17216,,,,,,,,,,,,,,,,,,
2020-12-26,24,Quebec,Québec,Total,17216,,,,,,17216,,,,,,12488,,,,,,,,,,,,
2020-12-26,24,Quebec,Québec,Unknown,0,,,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,46,Manitoba,Manitoba,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,46,Manitoba,Manitoba,Pfizer-BioNTech Comirnaty (ages 12 years and older),2177,2177,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,35,Ontario,Ontario,Total,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-26,46,Manitoba,Manitoba,Total,2177,2177,0,,,,0,1283,0,,,,0,,,,,,,,,,,,
2020-12-26,46,Manitoba,Manitoba,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,Pfizer-BioNTech Comirnaty (ages 12 years and older),1769,1769,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,Total,1769,1769,0,,,,0,727,0,,,,0,,,,,,,,,,,,
2020-12-26,47,Saskatchewan,Saskatchewan,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,48,Alberta,Alberta,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,48,Alberta,Alberta,Pfizer-BioNTech Comirnaty (ages 12 years and older),4792,4792,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,48,Alberta,Alberta,Total,4792,4792,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,48,Alberta,Alberta,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,59,British Columbia,Colombie-Britannique,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,59,British Columbia,Colombie-Britannique,Pfizer-BioNTech Comirnaty (ages 12 years and older),12444,12444,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,59,British Columbia,Colombie-Britannique,Total,12447,12447,0,,,,0,8813,0,,,,0,,,,,,,,,,,,
2020-12-26,59,British Columbia,Colombie-Britannique,Unknown,3,3,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,60,Yukon,Yukon,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,60,Yukon,Yukon,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,60,Yukon,Yukon,Total,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,60,Yukon,Yukon,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,Total,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,61,Northwest Territories,Territoires du Nord-Ouest,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,62,Nunavut,Nunavut,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,62,Nunavut,Nunavut,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,62,Nunavut,Nunavut,Total,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2020-12-26,62,Nunavut,Nunavut,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,1,Canada,Canada,Moderna Spikevax,1778,1778,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,1,Canada,Canada,Not reported,13383,13383,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,1,Canada,Canada,Pfizer-BioNTech Comirnaty (ages 12 years and older),67350,39045,0,,,,28305,,,,,,,,,,,,,,,,,,
2021-01-02,1,Canada,Canada,Total,82512,54207,0,,,,28305,25267,0,,,,11089,46573,0,,,,23577,,,,,,
2021-01-02,1,Canada,Canada,Unknown,1,1,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pfizer-BioNTech Comirnaty (ages 12 years and older),1785,1785,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Total,1785,1785,0,,,,0,,,,,,,813,0,,,,0,,,,,,
2021-01-02,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Pfizer-BioNTech Comirnaty (ages 12 years and older),1669,1669,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Total,1669,1669,0,,,,0,523,0,,,,0,,,,,,,,,,,,
2021-01-02,11,Prince Edward Island,Île-du-Prince-Édouard,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Pfizer-BioNTech Comirnaty (ages 12 years and older),2720,2720,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Total,2720,2720,0,,,,0,502,0,,,,0,1628,0,,,,0,,,,,,
2021-01-02,12,Nova Scotia,Nouvelle-Écosse,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Pfizer-BioNTech Comirnaty (ages 12 years and older),2886,2886,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Total,2886,2886,0,,,,0,280,0,,,,0,,,,,,,,,,,,
2021-01-02,13,New Brunswick,Nouveau-Brunswick,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,24,Quebec,Québec,Moderna Spikevax,0,,,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,24,Quebec,Québec,Not reported,0,,,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,24,Quebec,Québec,Pfizer-BioNTech Comirnaty (ages 12 years and older),28305,,,,,,28305,,,,,,,,,,,,,,,,,,
2021-01-02,24,Quebec,Québec,Total,28305,,,,,,28305,,,,,,11089,,,,,,23577,,,,,,
2021-01-02,24,Quebec,Québec,Unknown,0,,,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,46,Manitoba,Manitoba,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,46,Manitoba,Manitoba,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,46,Manitoba,Manitoba,Pfizer-BioNTech Comirnaty (ages 12 years and older),3432,3432,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,35,Ontario,Ontario,Total,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-02,46,Manitoba,Manitoba,Total,3432,3432,0,,,,0,1255,0,,,,0,2538,0,,,,0,,,,,,
2021-01-02,46,Manitoba,Manitoba,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Pfizer-BioNTech Comirnaty (ages 12 years and older),3540,3540,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Total,3540,3540,0,,,,0,1771,0,,,,0,2498,0,,,,0,,,,,,
2021-01-02,47,Saskatchewan,Saskatchewan,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,48,Alberta,Alberta,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,48,Alberta,Alberta,Not reported,13383,13383,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,48,Alberta,Alberta,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,48,Alberta,Alberta,Total,13383,13383,0,,,,0,8591,0,,,,0,,,,,,,,,,,,
2021-01-02,48,Alberta,Alberta,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Moderna Spikevax,1656,1656,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Pfizer-BioNTech Comirnaty (ages 12 years and older),23013,23013,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Total,24670,24670,0,,,,0,12223,0,,,,0,21036,0,,,,0,,,,,,
2021-01-02,59,British Columbia,Colombie-Britannique,Unknown,1,1,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,60,Yukon,Yukon,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,60,Yukon,Yukon,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,60,Yukon,Yukon,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,60,Yukon,Yukon,Total,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,60,Yukon,Yukon,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Moderna Spikevax,122,122,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Total,122,122,0,,,,0,122,0,,,,0,122,0,,,,0,,,,,,
2021-01-02,61,Northwest Territories,Territoires du Nord-Ouest,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Total,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-02,62,Nunavut,Nunavut,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,1,Canada,Canada,Moderna Spikevax,46739,25899,0,,,,20840,,,,,,,,,,,,,,,,,,
2021-01-09,1,Canada,Canada,Not reported,6241,6241,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,1,Canada,Canada,Pfizer-BioNTech Comirnaty (ages 12 years and older),168861,101924,4521,,,,62416,,,,,,,,,,,,,,,,,,
2021-01-09,1,Canada,Canada,Total,221866,134067,4521,,,,83278,79860,4521,,,,54973,,,,,,,,,,,,
2021-01-09,1,Canada,Canada,Unknown,25,3,0,,,,22,,,,,,,,,,,,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Pfizer-BioNTech Comirnaty (ages 12 years and older),3700,2847,853,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Total,3700,2847,853,,,,0,1062,853,,,,0,,,,,,,,,,,,
2021-01-09,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Moderna Spikevax,38,38,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Pfizer-BioNTech Comirnaty (ages 12 years and older),2437,2437,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Total,2475,2475,0,,,,0,806,0,,,,0,,,,,,,,,,,,
2021-01-09,11,Prince Edward Island,Île-du-Prince-Édouard,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Pfizer-BioNTech Comirnaty (ages 12 years and older),3831,2755,1076,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Total,3831,2755,1076,,,,0,35,1076,,,,0,,,,,,,,,,,,
2021-01-09,12,Nova Scotia,Nouvelle-Écosse,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Moderna Spikevax,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Not reported,6241,6241,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Pfizer-BioNTech Comirnaty (ages 12 years and older),0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Total,6241,6241,0,,,,0,3355,0,,,,0,,,,,,,,,,,,
2021-01-09,13,New Brunswick,Nouveau-Brunswick,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,24,Quebec,Québec,Moderna Spikevax,20840,,,,,,20840,,,,,,,,,,,,,,,,,,
2021-01-09,24,Quebec,Québec,Not reported,0,,,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,24,Quebec,Québec,Pfizer-BioNTech Comirnaty (ages 12 years and older),62416,,,,,,62416,,,,,,,,,,,,,,,,,,
2021-01-09,24,Quebec,Québec,Total,83278,,,,,,83278,,,,,,54973,,,,,,,,,,,,
2021-01-09,24,Quebec,Québec,Unknown,22,,,,,,22,,,,,,,,,,,,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Moderna Spikevax,101,101,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Pfizer-BioNTech Comirnaty (ages 12 years and older),9473,8593,880,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,35,Ontario,Ontario,Total,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Total,9574,8694,880,,,,0,5262,880,,,,0,,,,,,,,,,,,
2021-01-09,46,Manitoba,Manitoba,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Moderna Spikevax,542,542,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Pfizer-BioNTech Comirnaty (ages 12 years and older),5927,4974,953,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Total,6469,5516,953,,,,0,1976,953,,,,0,,,,,,,,,,,,
2021-01-09,47,Saskatchewan,Saskatchewan,Unknown,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,48,Alberta,Alberta,Moderna Spikevax,12746,12746,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,48,Alberta,Alberta,Not reported,0,0,0,,,,0,,,,,,,,,,,,,,,,,,
2021-01-09,48,Alberta,Alberta,Pfizer-BioNTech Comirnaty (ages 12 years and older),32276,31552,724,,,,0,,,,,,,,,,,,,,,,,,
